#cluster	accession	definition	organism	taxid	length
CLSP2512444	YP_025151	hypothetical protein	Neodiprion sertifer nucleopolyhedrovirus	111874	82
CLSP2512442	YP_025149	hypothetical protein	Neodiprion sertifer nucleopolyhedrovirus	111874	444
CLSP2512441	YP_025148	hypothetical protein	Neodiprion sertifer nucleopolyhedrovirus	111874	147
CLSP2512440	YP_667865	hypothetical protein	Neodiprion abietis NPV	204507	192
CLSP2512439	YP_025142	P40	Neodiprion sertifer nucleopolyhedrovirus	111874	368
CLSP2512438	YP_025141	hypothetical protein	Neodiprion sertifer nucleopolyhedrovirus	111874	117
CLSP2512437	YP_667882	hypothetical protein	Neodiprion abietis NPV	204507	402
CLSP2512435	YP_025136	hypothetical protein	Neodiprion sertifer nucleopolyhedrovirus	111874	792
CLSP2512434	YP_025133	hypothetical protein	Neodiprion sertifer nucleopolyhedrovirus	111874	218
CLSP2512433	YP_667857	hypothetical protein	Neodiprion abietis NPV	204507	170
CLSP2512430	YP_025127	hypothetical protein	Neodiprion sertifer nucleopolyhedrovirus	111874	270
CLSP2512429	YP_025126	hypothetical protein	Neodiprion sertifer nucleopolyhedrovirus	111874	307
CLSP2512428	YP_667871	hypothetical protein	Neodiprion abietis NPV	204507	822
CLSP2512427	YP_025118	hypothetical protein	Neodiprion sertifer nucleopolyhedrovirus	111874	461
CLSP2512426	YP_667874	trypsin-like protein	Neodiprion abietis NPV	204507	259
CLSP2512425	YP_667862	hypothetical protein	Neodiprion abietis NPV	204507	406
CLSP2512423	YP_024664	ORF122	Ostreid herpesvirus 1	261939	384
CLSP2512421	YP_024662	ORF120	Ostreid herpesvirus 1	261939	76
CLSP2512420	YP_024661	ORF119	Ostreid herpesvirus 1	261939	192
CLSP2512419	YP_024659	ORF117	Ostreid herpesvirus 1	261939	371
CLSP2512418	YP_024658	ORF116	Ostreid herpesvirus 1	261939	256
CLSP2512417	YP_024635	ORF96	Ostreid herpesvirus 1	261939	240
CLSP2512416	YP_024597	ORF54	Ostreid herpesvirus 1	261939	807
CLSP2512415	YP_024585	ORF41	Ostreid herpesvirus 1	261939	972
CLSP2512414	YP_024646	ORF108	Ostreid herpesvirus 1	261939	270
CLSP2512413	YP_024557	ORF12	Ostreid herpesvirus 1	261939	195
CLSP2512412	YP_024552	ORF7	Ostreid herpesvirus 1	261939	1181
CLSP2512411	YP_024551	ORF6	Ostreid herpesvirus 1	261939	676
CLSP2512410	YP_024550	ORF4	Ostreid herpesvirus 1	261939	349
CLSP2512409	YP_024549	ORF3	Ostreid herpesvirus 1	261939	254
CLSP2512408	YP_024548	ORF2	Ostreid herpesvirus 1	261939	167
CLSP2512407	YP_024547	ORF1	Ostreid herpesvirus 1	261939	148
CLSP2512406	YP_094048	U exon	Bovine adenovirus A	129953	56
CLSP2512403	YP_006337	ORF7	Agrotis segetum granulovirus	10464	87
CLSP2512400	YP_006233	ORF111	Agrotis segetum granulovirus	10464	58
CLSP2512399	YP_006223	ORF121	Agrotis segetum granulovirus	10464	67
CLSP2512398	YP_003865	hypothetical protein	Ambystoma tigrinum virus	265294	137
CLSP2512397	YP_164206	hypothetical protein	Singapore grouper iridovirus	262968	255
CLSP2512396	YP_164198	hypothetical protein	Singapore grouper iridovirus	262968	97
CLSP2512395	YP_003859	hypothetical protein	Ambystoma tigrinum virus	265294	124
CLSP2512394	YP_003857	hypothetical protein	Ambystoma tigrinum virus	265294	315
CLSP2512393	YP_164138	hypothetical protein	Singapore grouper iridovirus	262968	667
CLSP2512392	YP_002854252	hypothetical protein	Soft-shelled turtle iridovirus	365144	865
CLSP2512391	YP_164133	hypothetical protein	Singapore grouper iridovirus	262968	170
CLSP2512390	YP_031626	hypothetical protein	Frog virus 3	10493	83
CLSP2512389	YP_164119	hypothetical protein	Singapore grouper iridovirus	262968	151
CLSP2512388	YP_003847	hypothetical protein	Ambystoma tigrinum virus	265294	275
CLSP2512387	YP_003846	neurofilament triplet H1-like protein	Ambystoma tigrinum virus	265294	275
CLSP2512386	YP_003844	hypothetical protein	Ambystoma tigrinum virus	265294	253
CLSP2512385	YP_003841	hypothetical protein	Ambystoma tigrinum virus	265294	207
CLSP2512384	YP_003840	hypothetical protein	Ambystoma tigrinum virus	265294	88
CLSP2512383	YP_002854272	putative NIF/NLI interacting factor	Soft-shelled turtle iridovirus	365144	213
CLSP2512382	YP_031614	hypothetical protein	Frog virus 3	10493	207
CLSP2512381	YP_003836	hypothetical protein	Ambystoma tigrinum virus	265294	63
CLSP2512380	YP_003834	hypothetical protein	Ambystoma tigrinum virus	265294	738
CLSP2512379	YP_164109	hypothetical protein	Singapore grouper iridovirus	262968	141
CLSP2512378	YP_003831	tyrosine kinase	Ambystoma tigrinum virus	265294	970
CLSP2512377	YP_031604	truncated putative e1F-2alpha-like protein	Frog virus 3	10493	76
CLSP2512376	YP_003826	hypothetical protein	Ambystoma tigrinum virus	265294	382
CLSP2512375	YP_003823	helicase	Ambystoma tigrinum virus	265294	431
CLSP2512374	YP_003822	hypothetical protein	Ambystoma tigrinum virus	265294	49
CLSP2512373	YP_164246	hypothetical protein	Singapore grouper iridovirus	262968	195
CLSP2512372	YP_003819	hypothetical protein	Ambystoma tigrinum virus	265294	184
CLSP2512371	YP_164218	hypothetical protein	Singapore grouper iridovirus	262968	362
CLSP2512370	YP_031642	putative dUTPase-like protein	Frog virus 3	10493	164
CLSP2512369	YP_003812	CARD-like caspase	Ambystoma tigrinum virus	265294	95
CLSP2512368	YP_031647	hypothetical protein	Frog virus 3	10493	95
CLSP2512367	YP_002854303	hypothetical protein	Soft-shelled turtle iridovirus	365144	88
CLSP2512366	YP_002854304	hypothetical protein	Soft-shelled turtle iridovirus	365144	91
CLSP2512365	YP_003805	hypothetical protein	Ambystoma tigrinum virus	265294	78
CLSP2512364	YP_003804	hypothetical protein	Ambystoma tigrinum virus	265294	185
CLSP2512363	YP_031651	hypothetical protein	Frog virus 3	10493	238
CLSP2512362	YP_164232	hypothetical protein	Singapore grouper iridovirus	262968	461
CLSP2512361	YP_003800	hypothetical protein	Ambystoma tigrinum virus	265294	84
CLSP2512360	YP_003799	hypothetical protein	Ambystoma tigrinum virus	265294	73
CLSP2512359	YP_164215	hypothetical protein	Singapore grouper iridovirus	262968	140
CLSP2512358	YP_003797	hypothetical protein	Ambystoma tigrinum virus	265294	576
CLSP2512357	YP_003795	transcription elongation factor-SII	Ambystoma tigrinum virus	265294	92
CLSP2512356	YP_003794	putative immediate-early protein	Ambystoma tigrinum virus	265294	157
CLSP2512355	YP_031665	hypothetical protein	Frog virus 3	10493	61
CLSP2512354	YP_003786	hypothetical protein	Ambystoma tigrinum virus	265294	424
CLSP2512353	YP_002854329	hypothetical protein	Soft-shelled turtle iridovirus	365144	71
CLSP2512352	YP_164193	hypothetical protein	Singapore grouper iridovirus	262968	267
CLSP2512351	YP_164154	hypothetical protein	Singapore grouper iridovirus	262968	146
CLSP2512350	YP_164155	NTPase	Singapore grouper iridovirus	262968	970
CLSP2512349	YP_002854240	hypothetical protein	Soft-shelled turtle iridovirus	365144	142
CLSP2512348	YP_003775	hypothetical protein	Ambystoma tigrinum virus	265294	60
CLSP2512347	YP_031581	orf229L protein-like protein	Frog virus 3	10493	438
CLSP2512346	YP_164113	hypothetical protein	Singapore grouper iridovirus	262968	285
CLSP2512343	YP_214170	hypothetical protein	Murid herpesvirus 1	10366	235
CLSP2512341	NP_955341	CNPV318 ankyrin repeat protein	Canarypox virus	44088	514
CLSP2512340	NP_955257	CNPV234 ankyrin repeat protein	Canarypox virus	44088	508
CLSP2512339	NP_955245	CNPV222 N1R/p28-like protein	Canarypox virus	44088	285
CLSP2512338	NP_955345	CNPV322 ankyrin repeat protein	Canarypox virus	44088	690
CLSP2512337	NP_955027	CNPV004 ankyrin repeat protein	Canarypox virus	44088	514
CLSP2512331	YP_002922913	hypothetical protein	Escherichia phage wV8	576791	38
CLSP2512320	YP_002922855	hypothetical protein	Escherichia phage wV8	576791	79
CLSP2512318	YP_002922820	hypothetical protein	Escherichia phage wV8	576791	132
CLSP2512304	YP_002922901	hypothetical protein	Escherichia phage wV8	576791	77
CLSP2512303	YP_002922896	putative HNH endonuclease	Escherichia phage wV8	576791	174
CLSP2512302	YP_002922890	hypothetical protein	Escherichia phage wV8	576791	66
CLSP2512265	NP_944451	protein SORF3	Psittacid herpesvirus 1	50294	290
CLSP2512261	YP_182403	envelope glycoprotein G	Gallid herpesvirus 1	10386	292
CLSP2512260	YP_182402	tegument protein VP13/14	Gallid herpesvirus 1	10386	623
CLSP2512258	NP_944442	virion protein US10	Psittacid herpesvirus 1	50294	281
CLSP2512255	NP_944436	nuclear protein UL4	Psittacid herpesvirus 1	50294	252
CLSP2512254	YP_182387	helicase-primase subunit	Gallid herpesvirus 1	10386	795
CLSP2512252	YP_182382	tegument serine/threonine protein kinase	Gallid herpesvirus 1	10386	465
CLSP2512250	NP_944419	envelope protein UL20	Psittacid herpesvirus 1	50294	248
CLSP2512249	NP_944418	tegument protein UL21	Psittacid herpesvirus 1	50294	569
CLSP2512247	NP_944415	DNA polymerase processivity subunit	Psittacid herpesvirus 1	50294	500
CLSP2512246	NP_944414	tegument host shutoff protein	Psittacid herpesvirus 1	50294	440
CLSP2512243	NP_944408	small capsid protein	Psittacid herpesvirus 1	50294	141
CLSP2512236	NP_944393	protein IE	Psittacid herpesvirus 1	50294	456
CLSP2512235	YP_182349	protein ID	Gallid herpesvirus 1	10386	374
CLSP2512234	NP_944391	protein IC	Psittacid herpesvirus 1	50294	372
CLSP2512233	NP_944390	protein IB	Psittacid herpesvirus 1	50294	367
CLSP2512232	NP_944389	protein IA	Psittacid herpesvirus 1	50294	396
CLSP2512231	NP_944388	membrane protein UL45	Psittacid herpesvirus 1	50294	301
CLSP2512230	NP_944386	tegument protein VP22	Psittacid herpesvirus 1	50294	284
CLSP2512228	NP_944383	tegument protein UL51	Psittacid herpesvirus 1	50294	260
CLSP2512227	NP_944382	helicase-primase primase subunit	Psittacid herpesvirus 1	50294	1293
CLSP2512225	NP_944380	multifunctional expression regulator	Psittacid herpesvirus 1	50294	639
CLSP2512222	YP_803394	viral capsid associated protein	Anticarsia gemmatalis nucleopolyhedrovirus	31507	643
CLSP2512221	YP_803448	late expression factor 10	Anticarsia gemmatalis nucleopolyhedrovirus	31507	77
CLSP2512219	YP_803504	hypothetical protein	Anticarsia gemmatalis nucleopolyhedrovirus	31507	71
CLSP2512218	YP_610973	hypothetical protein	Antheraea pernyi nucleopolyhedrovirus	161494	76
CLSP2512216	YP_803510	hypothetical protein	Anticarsia gemmatalis nucleopolyhedrovirus	31507	86
CLSP2512215	NP_932713	hypothetical protein	Choristoneura fumiferana DEF multiple nucleopolyhedrovirus	74660	99
CLSP2512214	YP_803466	hypothetical protein	Anticarsia gemmatalis nucleopolyhedrovirus	31507	91
CLSP2512211	YP_803495	he65	Anticarsia gemmatalis nucleopolyhedrovirus	31507	217
CLSP2512210	YP_803513	hypothetical protein	Anticarsia gemmatalis nucleopolyhedrovirus	31507	94
CLSP2512208	YP_803539	immediate early protein 2	Anticarsia gemmatalis nucleopolyhedrovirus	31507	438
CLSP2512207	NP_932705	viral capsid associated protein	Choristoneura fumiferana DEF multiple nucleopolyhedrovirus	74660	693
CLSP2512206	NP_918968	hypothetical protein	Burkholderia phage BcepNazgul	242861	265
CLSP2512205	NP_899539	PhoH domain protein	Vibrio phage KVP40	75320	235
CLSP2512203	YP_003407091	calcineurin-like phosphoesterase	Marseillevirus	694581	242
CLSP2512201	NP_148919	ORF135 similar to XcGV ORF172	Cydia pomonella granulovirus	28289	354
CLSP2512200	NP_148857	ORF73 38.7KD	Cydia pomonella granulovirus	28289	198
CLSP2512199	YP_654470	hypothetical protein	Choristoneura occidentalis granulovirus	364745	120
CLSP2512198	NP_891857	hypothetical protein	Cryptophlebia leucotreta granulovirus	35254	209
CLSP2512193	YP_002922277	hypothetical protein	Enterobacteria phage JSE	576789	111
CLSP2512191	YP_002922177	hypothetical protein	Enterobacteria phage JSE	576789	191
CLSP2512190	YP_003429439	PrGVORF115	Pieris rapae granulovirus	252584	70
CLSP2512189	YP_006294	ORF50	Agrotis segetum granulovirus	10464	134
CLSP2512185	NP_861949	RB69ORF259c hypothetical protein	Enterobacteria phage RB69	12353	99
CLSP2512179	NP_044671	membrane protein US8A	Human herpesvirus 1	10298	159
CLSP2512178	NP_044527	membrane protein UL56	Human herpesvirus 2	10310	235
CLSP2512175	NP_619795	CPXV007 protein	Cowpox virus	10243	50
CLSP2512174	NP_849167	putative protein 2	Goose hemorrhagic polyomavirus	208491	326
CLSP2512173	NP_848425	hypothetical protein	Choristoneura fumiferana multiple nucleopolyhedrovirus	208973	232
CLSP2512172	NP_848400	hypothetical protein	Choristoneura fumiferana multiple nucleopolyhedrovirus	208973	301
CLSP2512170	YP_803432	hypothetical protein	Anticarsia gemmatalis nucleopolyhedrovirus	31507	69
CLSP2512169	NP_848323	hypothetical protein	Choristoneura fumiferana multiple nucleopolyhedrovirus	208973	177
CLSP2512167	NP_848005	VP2 capsid protein	African green monkey polyomavirus	12480	356
CLSP2512164	NP_818772	hypothetical protein	Adoxophyes honmai nucleopolyhedrovirus	224399	353
CLSP2512162	NP_818770	hypothetical protein	Adoxophyes honmai nucleopolyhedrovirus	224399	153
CLSP2512161	NP_818768	hypothetical protein	Adoxophyes honmai nucleopolyhedrovirus	224399	187
CLSP2512160	NP_818767	hypothetical protein	Adoxophyes honmai nucleopolyhedrovirus	224399	220
CLSP2512158	YP_002300630	hypothetical protein	Adoxophyes orana nucleopolyhedrovirus	542343	238
CLSP2512157	NP_818762	hypothetical protein	Adoxophyes honmai nucleopolyhedrovirus	224399	576
CLSP2512156	NP_818761	hypothetical protein	Adoxophyes honmai nucleopolyhedrovirus	224399	308
CLSP2512155	NP_818760	hypothetical protein	Adoxophyes honmai nucleopolyhedrovirus	224399	76
CLSP2512154	NP_818759	fibroblast growth factor	Adoxophyes honmai nucleopolyhedrovirus	224399	292
CLSP2512151	NP_818756	hypothetical protein	Adoxophyes honmai nucleopolyhedrovirus	224399	452
CLSP2512150	NP_818754	hypothetical protein	Adoxophyes honmai nucleopolyhedrovirus	224399	107
CLSP2512148	NP_818750	GP16	Adoxophyes honmai nucleopolyhedrovirus	224399	95
CLSP2512147	NP_818748	hypothetical protein	Adoxophyes honmai nucleopolyhedrovirus	224399	104
CLSP2512144	YP_006339	ORF5	Agrotis segetum granulovirus	10464	169
CLSP2512143	NP_872566	ORF_112	Adoxophyes orana granulovirus	170617	132
CLSP2512142	YP_002300607	BRO C II	Adoxophyes orana nucleopolyhedrovirus	542343	225
CLSP2512139	NP_818736	hypothetical protein	Adoxophyes honmai nucleopolyhedrovirus	224399	370
CLSP2512135	YP_002300595	hypothetical protein	Adoxophyes orana nucleopolyhedrovirus	542343	604
CLSP2512129	NP_818711	hypothetical protein	Adoxophyes honmai nucleopolyhedrovirus	224399	267
CLSP2512125	NP_818702	hypothetical protein	Adoxophyes honmai nucleopolyhedrovirus	224399	133
CLSP2512122	YP_002300561	hypothetical protein	Adoxophyes orana nucleopolyhedrovirus	542343	181
CLSP2512121	YP_002300560	hypothetical protein	Adoxophyes orana nucleopolyhedrovirus	542343	274
CLSP2512120	NP_818691	hypothetical protein	Adoxophyes honmai nucleopolyhedrovirus	224399	76
CLSP2512119	NP_818690	late expression factor 10	Adoxophyes honmai nucleopolyhedrovirus	224399	72
CLSP2512118	NP_818688	hypothetical protein	Adoxophyes honmai nucleopolyhedrovirus	224399	93
CLSP2512114	YP_803529	baculovirus repeated ORF	Anticarsia gemmatalis nucleopolyhedrovirus	31507	60
CLSP2512113	NP_818680	baculovirus repeated ORF	Adoxophyes honmai nucleopolyhedrovirus	224399	333
CLSP2512111	NP_818677	hypothetical protein	Adoxophyes honmai nucleopolyhedrovirus	224399	84
CLSP2512110	NP_818676	late expression factor 6	Adoxophyes honmai nucleopolyhedrovirus	224399	152
CLSP2512106	NP_818668	hypothetical protein	Adoxophyes honmai nucleopolyhedrovirus	224399	92
CLSP2512105	NP_818667	hypothetical protein	Adoxophyes honmai nucleopolyhedrovirus	224399	201
CLSP2512103	NP_818661	hypothetical protein	Adoxophyes honmai nucleopolyhedrovirus	224399	89
CLSP2512100	NP_818654	hypothetical protein	Adoxophyes honmai nucleopolyhedrovirus	224399	252
CLSP2512099	NP_818653	HOAR	Adoxophyes honmai nucleopolyhedrovirus	224399	716
CLSP2512098	NP_818651	ORF1629	Adoxophyes honmai nucleopolyhedrovirus	224399	500
CLSP2512097	YP_006255	ORF89	Agrotis segetum granulovirus	10464	435
CLSP2512095	YP_003494854	hypothetical protein	Ostreococcus tauri virus 1	642926	579
CLSP2512094	YP_002925115	hypothetical protein	Streptococcus phage 5093	646413	250
CLSP2512090	NP_041235	capsid protein VP2	Murine pneumotropic virus	229278	341
CLSP2512084	YP_081618	protein US34A	Human herpesvirus 5	10359	64
CLSP2512083	NP_775309	E4	Human papillomavirus type 92	211787	231
CLSP2512082	NP_932320	E7	Human papillomavirus type 96	247269	99
CLSP2512081	YP_401646	BHRF1	Human herpesvirus 4	10376	191
CLSP2512080	YP_001129449	BPLF1	Human herpesvirus 4 type 2	12509	3154
CLSP2512079	YP_001129450	BOLF1	Human herpesvirus 4 type 2	12509	1240
CLSP2512078	YP_067962	BLRF2	Macacine herpesvirus 4	45455	163
CLSP2512077	YP_401667	BLLF1	Human herpesvirus 4	10376	907
CLSP2512076	NP_733897	ORF44	Callitrichine herpesvirus 3	106331	241
CLSP2512075	NP_733896	ORF43	Callitrichine herpesvirus 3	106331	252
CLSP2512074	NP_733895	ORF42	Callitrichine herpesvirus 3	106331	608
CLSP2512073	YP_401675	BRRF1	Human herpesvirus 4	10376	310
CLSP2512072	YP_401676	BRRF2	Human herpesvirus 4	10376	537
CLSP2512071	YP_401677	EBNA-1	Human herpesvirus 4	10376	641
CLSP2512070	NP_733891	ORF38	Callitrichine herpesvirus 3	106331	143
CLSP2512069	YP_067976	BKRF4	Macacine herpesvirus 4	45455	239
CLSP2512068	NP_733885	ORF32	Callitrichine herpesvirus 3	106331	200
CLSP2512065	YP_401724	BGLF3.5	Human herpesvirus 4	10376	153
CLSP2512064	NP_733878	ORF25	Callitrichine herpesvirus 3	106331	359
CLSP2512063	NP_733875	ORF22	Callitrichine herpesvirus 3	106331	508
CLSP2512062	YP_401695	BDLF2	Human herpesvirus 4	10376	420
CLSP2512060	YP_067997	BXLF2	Macacine herpesvirus 4	45455	707
CLSP2512059	NP_733865	ORF12	Callitrichine herpesvirus 3	106331	257
CLSP2512057	YP_401709	LF1	Human herpesvirus 4	10376	469
CLSP2512056	YP_401711	BILF1	Human herpesvirus 4	10376	312
CLSP2512055	YP_401718	BALF1	Human herpesvirus 4	10376	182
CLSP2512054	YP_758566	hypothetical protein	Plutella xylostella multiple nucleopolyhedrovirus	379891	74
CLSP2512053	YP_758604	hypothetical protein	Plutella xylostella multiple nucleopolyhedrovirus	379891	88
CLSP2512046	YP_002321312	dnapol B	Oryctes rhinoceros virus	92521	1280
CLSP2512044	YP_002321386	dnaint/rec	Oryctes rhinoceros virus	92521	364
CLSP2512043	NP_690534	Orf115	Helicoverpa zea nudivirus 2	1128424	424
CLSP2512042	NP_690530	Orf111	Helicoverpa zea nudivirus 2	1128424	335
CLSP2512041	NP_690517	hypothetical protein K06A9.1a	Helicoverpa zea nudivirus 2	1128424	888
CLSP2512040	YP_001111316	late expression factor 8	Gryllus bimaculatus nudivirus	432587	923
CLSP2512039	YP_002321418	pif-3	Oryctes rhinoceros virus	92521	204
CLSP2512038	YP_001111272	occlusion-derived virus envelope-56 protein	Gryllus bimaculatus nudivirus	432587	467
CLSP2512037	YP_001111332	hypothetical protein	Gryllus bimaculatus nudivirus	432587	479
CLSP2512036	NP_690460	polyphenolic adhesive protein 1	Helicoverpa zea nudivirus 2	1128424	179
CLSP2512035	YP_001111281	hypothetical protein	Gryllus bimaculatus nudivirus	432587	179
CLSP2512033	YP_001110890	hr1	Heliothis virescens ascovirus 3e	260797	608
CLSP2512032	YP_654515	hypothetical protein	Choristoneura occidentalis granulovirus	364745	188
CLSP2512030	NP_663258	hypothetical protein	Phthorimaea operculella granulovirus	192584	97
CLSP2512029	NP_663256	hypothetical protein	Phthorimaea operculella granulovirus	192584	51
CLSP2512028	NP_932738	hypothetical protein	Choristoneura fumiferana DEF multiple nucleopolyhedrovirus	74660	215
CLSP2512026	NP_663216	hypothetical protein	Phthorimaea operculella granulovirus	192584	48
CLSP2512025	NP_663211	hypothetical protein	Phthorimaea operculella granulovirus	192584	810
CLSP2512024	YP_003429365	PrGVORF41	Pieris rapae granulovirus	252584	69
CLSP2512023	NP_899151	RH0	Bovine adenovirus D	130499	187
CLSP2512022	NP_077409	RH5	Bovine adenovirus D	130499	207
CLSP2512020	NP_647585	E8	Thetapapillomavirus 1	197772	177
CLSP2512017	NP_620508	early protein E7	Equus caballus papillomavirus 1	333920	98
CLSP2512015	NP_620007	CPXV228 protein	Cowpox virus	10243	65
CLSP2512014	NP_619791	CPXV001 protein	Cowpox virus	10243	64
CLSP2512011	YP_002268182	agip152	Agrotis ipsilon multiple nucleopolyhedrovirus	208013	87
CLSP2512009	YP_002332686	hypothetical protein	Helicoverpa armigera multiple nucleopolyhedrovirus	559170	81
CLSP2512007	YP_002332680	hypothetical protein	Helicoverpa armigera multiple nucleopolyhedrovirus	559170	65
CLSP2512005	NP_613230	hypothetical protein	Mamestra configurata nucleopolyhedrovirus A	207830	193
CLSP2512004	YP_002332674	hypothetical protein	Helicoverpa armigera multiple nucleopolyhedrovirus	559170	349
CLSP2512003	YP_002332670	hypothetical protein	Helicoverpa armigera multiple nucleopolyhedrovirus	559170	154
CLSP2512002	YP_002268157	agip127	Agrotis ipsilon multiple nucleopolyhedrovirus	208013	197
CLSP2512001	YP_002332664	hypothetical protein	Helicoverpa armigera multiple nucleopolyhedrovirus	559170	328
CLSP2512000	YP_002332663	hypothetical protein	Helicoverpa armigera multiple nucleopolyhedrovirus	559170	75
CLSP2511999	YP_002332662	late expression factor 10	Helicoverpa armigera multiple nucleopolyhedrovirus	559170	75
CLSP2511998	YP_002332659	hypothetical protein	Helicoverpa armigera multiple nucleopolyhedrovirus	559170	89
CLSP2511995	YP_002332655	bro-g	Helicoverpa armigera multiple nucleopolyhedrovirus	559170	179
CLSP2511994	NP_613206	BRO-g	Mamestra configurata nucleopolyhedrovirus A	207830	235
CLSP2511993	NP_613205	BRO-f	Mamestra configurata nucleopolyhedrovirus A	207830	357
CLSP2511992	YP_002268141	agip111	Agrotis ipsilon multiple nucleopolyhedrovirus	208013	225
CLSP2511991	NP_613203	hypothetical protein	Mamestra configurata nucleopolyhedrovirus A	207830	156
CLSP2511989	YP_002332636	hypothetical protein	Helicoverpa armigera multiple nucleopolyhedrovirus	559170	364
CLSP2511986	YP_002268120	agip90	Agrotis ipsilon multiple nucleopolyhedrovirus	208013	211
CLSP2511984	YP_529748	ORF-78	Agrotis segetum nucleopolyhedrovirus	31508	147
CLSP2511983	NP_613173	BRO-e	Mamestra configurata nucleopolyhedrovirus A	207830	360
CLSP2511982	YP_002268112	agip82	Agrotis ipsilon multiple nucleopolyhedrovirus	208013	897
CLSP2511980	YP_803253	hypothetical protein	Trichoplusia ni ascovirus 2c	328615	178
CLSP2511979	YP_002332603	BRO-B	Helicoverpa armigera multiple nucleopolyhedrovirus	559170	335
CLSP2511978	YP_002332600	hypothetical protein	Helicoverpa armigera multiple nucleopolyhedrovirus	559170	158
CLSP2511977	YP_002332597	poly ADP-ribose glycohydrolase	Helicoverpa armigera multiple nucleopolyhedrovirus	559170	484
CLSP2511976	YP_529725	ORF-55	Agrotis segetum nucleopolyhedrovirus	31508	134
CLSP2511975	YP_002332592	hypothetical protein	Helicoverpa armigera multiple nucleopolyhedrovirus	559170	204
CLSP2511974	YP_529721	ORF-51	Agrotis segetum nucleopolyhedrovirus	31508	97
CLSP2511973	NP_613144	hypothetical protein	Mamestra configurata nucleopolyhedrovirus A	207830	225
CLSP2511971	YP_002332588	hypothetical protein	Helicoverpa armigera multiple nucleopolyhedrovirus	559170	349
CLSP2511967	YP_002268064	agip34	Agrotis ipsilon multiple nucleopolyhedrovirus	208013	223
CLSP2511966	YP_002332558	hypothetical protein	Helicoverpa armigera multiple nucleopolyhedrovirus	559170	213
CLSP2511965	NP_613107	BRO-b	Mamestra configurata nucleopolyhedrovirus A	207830	372
CLSP2511964	YP_002268058	agip28	Agrotis ipsilon multiple nucleopolyhedrovirus	208013	252
CLSP2511962	NP_613098	hypothetical protein	Mamestra configurata nucleopolyhedrovirus A	207830	138
CLSP2511961	YP_002268046	hypothetical protein	Agrotis ipsilon multiple nucleopolyhedrovirus	208013	114
CLSP2511960	YP_529679	ORF-9	Agrotis segetum nucleopolyhedrovirus	31508	335
CLSP2511959	NP_613088	hypothetical protein	Mamestra configurata nucleopolyhedrovirus A	207830	202
CLSP2511958	YP_002332540	hoar	Helicoverpa armigera multiple nucleopolyhedrovirus	559170	742
CLSP2511956	NP_612805	protein US34	Panine herpesvirus 2	188763	169
CLSP2511955	NP_612802	membrane protein US30	Panine herpesvirus 2	188763	365
CLSP2511954	YP_081613	protein US29	Human herpesvirus 5	10359	462
CLSP2511953	YP_068307	rh220	Macacine herpesvirus 3	47929	483
CLSP2511952	YP_081611	envelope glycoprotein US27	Human herpesvirus 5	10359	364
CLSP2511951	YP_081610	protein US26	Human herpesvirus 5	10359	603
CLSP2511950	NP_612795	tegument protein US22	Panine herpesvirus 2	188763	609
CLSP2511949	YP_081606	membrane protein US21	Human herpesvirus 5	10359	243
CLSP2511948	YP_081605	membrane protein US20	Human herpesvirus 5	10359	254
CLSP2511947	NP_612792	membrane protein US19	Panine herpesvirus 2	188763	272
CLSP2511946	NP_612791	membrane protein US18	Panine herpesvirus 2	188763	293
CLSP2511945	YP_081602	membrane protein US17	Human herpesvirus 5	10359	293
CLSP2511944	NP_612789	membrane protein US16	Panine herpesvirus 2	188763	316
CLSP2511943	YP_081600	membrane protein US15	Human herpesvirus 5	10359	262
CLSP2511942	YP_081599	membrane protein US14	Human herpesvirus 5	10359	310
CLSP2511941	NP_612786	membrane protein US13	Panine herpesvirus 2	188763	262
CLSP2511940	NP_612785	membrane protein US12	Panine herpesvirus 2	188763	306
CLSP2511939	NP_612784	membrane glycoprotein US11	Panine herpesvirus 2	188763	225
CLSP2511938	NP_612783	membrane glycoprotein US10	Panine herpesvirus 2	188763	220
CLSP2511937	NP_612782	membrane glycoprotein US9	Panine herpesvirus 2	188763	257
CLSP2511936	YP_081593	membrane glycoprotein US8	Human herpesvirus 5	10359	227
CLSP2511935	NP_612780	membrane glycoprotein US7	Panine herpesvirus 2	188763	232
CLSP2511934	NP_612779	membrane glycoprotein US6	Panine herpesvirus 2	188763	192
CLSP2511933	NP_612778	membrane glycoprotein US3	Panine herpesvirus 2	188763	187
CLSP2511932	NP_612777	membrane glycoprotein US2	Panine herpesvirus 2	188763	203
CLSP2511931	NP_612804	protein US32	Panine herpesvirus 2	188763	193
CLSP2511930	NP_612775	tegument protein IRS1	Panine herpesvirus 2	188763	936
CLSP2511929	NP_612771	protein UL150	Panine herpesvirus 2	188763	725
CLSP2511928	YP_081585	protein UL148D	Human herpesvirus 5	10359	62
CLSP2511927	NP_612769	protein UL148C	Panine herpesvirus 2	188763	79
CLSP2511926	NP_612768	protein UL148B	Panine herpesvirus 2	188763	81
CLSP2511925	NP_612767	protein UL148A	Panine herpesvirus 2	188763	98
CLSP2511924	NP_612765	protein UL135	Panine herpesvirus 2	188763	387
CLSP2511923	YP_081579	protein UL136	Human herpesvirus 5	10359	240
CLSP2511922	NP_612763	protein UL138	Panine herpesvirus 2	188763	182
